0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:28:27 +0900] "GET /CS_Project/font/NANUMBARUNGOTHIC.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:28:27 +0900] "GET /CS_Project/font/NANUMBARUNGOTHICLIGHT.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:28:51 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:28:51 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:01 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:02 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:05 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:05 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:10 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:10 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:30 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:29:30 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:31:30 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:31:30 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:31:30 +0900] "GET /CS_Project/image/tree.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:31:30 +0900] "GET /CS_Project/font/NANUMBARUNGOTHIC.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:31:30 +0900] "GET /CS_Project/font/NANUMBARUNGOTHICLIGHT.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:31:56 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5220
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:31:56 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:32:44 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5289
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:32:44 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:32:53 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5289
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:32:53 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:33:05 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:33:05 +0900] "GET /CS_Project/paint.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:33:05 +0900] "GET /CS_Project/font/NANUMBARUNGOTHIC.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:19:33:05 +0900] "GET /CS_Project/font/NANUMBARUNGOTHICLIGHT.TTF HTTP/1.1" 304 -
